Template|Cypher
Quiet Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Visit]->(end:ns1__Quiet) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end AS Entity2
Family-Friendly Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Visit]->(end:ns1__FamilyFriendly_Beach) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end AS Entity2
What water sports to try in <Beach>?|MATCH p=(start{ns0__name:"<Beach>"})-[r:ns1__Do]->(end:ns1__Water_Activity) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Organized beach in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Visit]->(end) WHERE end:ns1__Well_Organized OR end:ns1__Partly_Organized RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Beach with blue flag in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r]->(end) WHERE end.ns1__Blue_Flag RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Where is <Beach>?|MATCH p=(start:ns1__Village)-[r]->(end:ns0__Beach) WHERE end.ns0__name="<Beach>" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
What are some Quiet beaches?|MATCH p=(start)-[r:ns1__Visit]->(end:ns1__Quiet) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Where can I find sandy beaches?|MATCH p=(start:ns1__Village)-[r:ns1__Visit]->(m:ns0__Beach)-[:ns1__sandType]->(end) WHERE end.ns0__name CONTAINS 'Sand' RETURN start.ns0__name AS Entity, Type(r) AS Relation, m.ns0__name AS Entity2_Name, end.ns0__name AS Type_Of_Sand
What are some nudist beaches?|MATCH p=(start)-[:ns1__Visit]->(end:ns1__Nudism_Friendly) RETURN p
What do you know about <Beach>?|MATCH p=(start{ns0__name:"<Beach>"})-[r]->(end) RETURN start.ns0__name AS Entity, labels(start) AS Labels, Type(r) AS Relation, end LIMIT 10
Are there any well-organized beaches in <Place> and what can I do there?|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Visit]->(m:ns1__Well_Organized)-[r:ns1__Do]->(end) RETURN start.ns0__name AS Entity, m AS Beach , Type(r) AS Relation, end.ns0__name AS Entity2_Name
What is the weather of Santorini|MATCH p=(start{ns0__name:"Santorini"})-[r:ns1__weather]->(end:ns1__Climate) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end
What is the weather like in <Month>?|MATCH p=(start{ns0__name:"Santorini"})-[r:ns1__weather]->(end:ns1__Climate) WHERE end.ns0__name="<Month> Weather" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end
Where can I find a hospital or medical center?|MATCH p=(start)-[r:ns1__healthcare]->(end) WHERE end:ns1__Medical_Center OR end:ns0__Hospital RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name
Hospitals in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__healthcare]->(end:ns0__Hospital) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name
What should I know before going to <Place>?|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Useful_Information]->(end)-[:ns1__answer]->(a) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name, a.ns0__name AS Answer
What papers do I need in order to rent a car in Greece?|MATCH p=(start:ns1__Driving_Info)-[r:ns1__answer]->(end) WHERE start.ns0__name = "Rental Car License" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name
Where can I find an ATM?|MATCH p=(start)-[r:ns1__Useful_Information]->(end:ns1__Financial_Info) WHERE start:ns1__Village OR end.ns0__name="Cash machines (ATM's)" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name, end.ns0__description AS Description
What is some important driving information?|MATCH p=(start)-[r:ns1__Useful_Information]->(end:ns1__Driving_Info)-[*0..1]->() RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name, end.ns0__description AS Description, a
